X	Y
0	0.000
1	0.000
2	0.000
3	0.000
4	0.000
5	0.000
6	0.000
7	0.000
8	0.000
9	0.000
10	0.000
11	0.000
12	0.000
13	0.000
14	12.984
15	19.889
16	8.413
17	2.048
18	4.159
19	23.524
20	80.778
21	229.619
22	562.429
23	1060.476
24	1546.302
25	1912.460
26	1962.032
27	1559.540
28	998.841
29	599.095
30	371.064
31	211.238
32	103.254
33	65.952
34	83.651
35	174.016
36	378.127
37	641.635
38	834.825
39	934.540
40	1168.127
41	1702.254
42	2330.397
43	2802.683
44	2996.127
45	3042.746
46	3069.270
47	3011.572
48	2653.238
49	2005.333
50	1353.952
51	818.905
52	504.095
53	340.079
54	264.016
55	340.651
56	622.222
57	950.540
58	1092.206
59	1031.444
60	898.111
61	918.603
62	1076.175
63	1125.603
64	1039.540
65	856.619
66	628.000
67	427.936
68	280.159
69	178.381
70	135.143
71	186.825
72	370.095
73	688.333
74	1095.413
75	1490.413
76	1887.698
77	2360.159
78	2806.333
79	3058.000
80	3273.651
81	3511.524
82	3532.556
83	3274.698
84	2896.841
85	2479.508
86	1952.952
87	1302.937
88	758.841
89	510.429
90	489.492
91	529.810
92	505.000
93	504.841
94	649.333
95	1052.587
96	1784.095
97	2614.524
98	3267.873
99	3631.460
100	3555.428
101	3013.810
102	2323.063
103	1681.397
104	1179.698
105	911.238
106	863.365
107	856.111
108	784.889
109	660.286
110	531.968
111	455.444
112	419.571
113	410.476
114	415.381
115	449.476
116	559.841
117	828.460
118	1213.492
119	1553.429
120	1740.905
121	1745.175
122	1608.032
123	1346.952
124	1071.460
125	793.794
126	513.016
127	327.206
128	225.698
129	158.635
130	120.841
131	107.444
132	133.698
133	208.524
134	341.365
135	570.841
136	871.921
137	1130.746
138	1314.921
139	1420.905
140	1363.746
141	1035.889
142	623.159
143	331.175
144	184.778
145	113.937
146	74.762
147	51.016
148	60.397
149	133.540
150	234.381
151	355.238
152	581.222
153	939.825
154	1441.746
155	2125.730
156	2866.921
157	3361.540
158	3440.683
159	3237.714
160	2938.730
161	2651.794
162	2254.000
163	1630.286
164	981.127
165	540.667
166	314.048
167	207.000
168	129.683
169	79.143
170	80.635
171	117.413
172	167.413
173	204.206
174	248.905
175	353.556
176	544.159
177	802.762
178	1063.111
179	1235.365
180	1243.349
181	1005.286
182	727.889
183	554.635
184	472.238
185	437.222
186	406.889
187	332.714
188	281.746
189	318.127
190	349.270
191	382.190
192	546.571
193	931.048
194	1482.111
195	2090.175
196	2664.048
197	2943.254
198	2695.254
199	2215.048
200	1828.111
201	1463.476
202	999.698
203	538.127
204	274.571
205	168.222
206	133.937
207	99.508
208	16.000
209	0.000
210	0.000
211	0.000
212	0.000
213	0.000
214	0.000
215	0.000
216	0.000
217	0.000
218	0.000
219	0.000
220	0.000
221	0.000
222	0.000
223	0.000
224	0.000
225	0.000
226	0.000
227	0.000
228	0.000
229	0.000
230	0.000
